 Epoch | train_loss |   val_h1 |   val_l2 |  time(s)
----------------------------------------------------
[  1/50] |     0.4855 |   0.2746 |   0.2492 |    27.00s
[  2/50] |     0.1765 |   0.1383 |   0.0969 |    29.77s
[  3/50] |     0.1184 |   0.1135 |   0.0789 |    28.05s
[  4/50] |     0.0983 |   0.0932 |   0.0540 |    29.48s
[  5/50] |     0.0902 |   0.0897 |   0.0525 |    29.33s
[  6/50] |     0.0852 |   0.0910 |   0.0569 |    29.25s
[  7/50] |     0.0841 |   0.0824 |   0.0428 |    29.26s
[  8/50] |     0.0790 |   0.0817 |   0.0435 |    30.26s
[  9/50] |     0.0803 |   0.0787 |   0.0408 |    29.37s
[ 10/50] |     0.0778 |   0.0810 |   0.0449 |    29.17s
[ 11/50] |     0.0789 |   0.0865 |   0.0514 |    28.35s
[ 12/50] |     0.0779 |   0.0779 |   0.0387 |    29.65s
[ 13/50] |     0.0774 |   0.0794 |   0.0416 |    29.39s
[ 14/50] |     0.0763 |   0.1177 |   0.0803 |    27.91s
[ 15/50] |     0.0747 |   0.0706 |   0.0302 |    28.65s
[ 16/50] |     0.0723 |   0.0835 |   0.0496 |    28.63s
[ 17/50] |     0.0731 |   0.0777 |   0.0407 |    28.30s
[ 18/50] |     0.0749 |   0.0722 |   0.0338 |    27.55s
[ 19/50] |     0.0716 |   0.0748 |   0.0387 |    29.20s
[ 20/50] |     0.0708 |   0.0705 |   0.0328 |    27.41s
[ 21/50] |     0.0651 |   0.0644 |   0.0229 |    28.18s
[ 22/50] |     0.0646 |   0.0643 |   0.0229 |    28.12s
[ 23/50] |     0.0643 |   0.0666 |   0.0274 |    27.66s
[ 24/50] |     0.0643 |   0.0655 |   0.0244 |    27.01s
[ 25/50] |     0.0644 |   0.0652 |   0.0247 |    27.43s
[ 26/50] |     0.0641 |   0.0644 |   0.0230 |    27.21s
[ 27/50] |     0.0648 |   0.0734 |   0.0380 |    26.78s
[ 28/50] |     0.0672 |   0.0667 |   0.0279 |    26.78s
[ 29/50] |     0.0659 |   0.0640 |   0.0225 |    26.76s
[ 30/50] |     0.0645 |   0.0648 |   0.0239 |    26.76s
[ 31/50] |     0.0646 |   0.0686 |   0.0317 |    26.73s
[ 32/50] |     0.0646 |   0.0670 |   0.0288 |    26.78s
[ 33/50] |     0.0676 |   0.0721 |   0.0390 |    26.78s
[ 34/50] |     0.0655 |   0.0655 |   0.0253 |    26.78s
[ 35/50] |     0.0658 |   0.0673 |   0.0266 |    26.77s
[ 36/50] |     0.0662 |   0.0635 |   0.0227 |    26.77s
[ 37/50] |     0.0638 |   0.0637 |   0.0225 |    26.73s
[ 38/50] |     0.0644 |   0.0649 |   0.0244 |    26.76s
[ 39/50] |     0.0648 |   0.0733 |   0.0353 |    26.77s
[ 40/50] |     0.0657 |   0.0654 |   0.0258 |    26.75s
[ 41/50] |     0.0622 |   0.0620 |   0.0195 |    26.76s
[ 42/50] |     0.0617 |   0.0621 |   0.0197 |    26.77s
[ 43/50] |     0.0619 |   0.0625 |   0.0203 |    26.75s
[ 44/50] |     0.0619 |   0.0624 |   0.0198 |    26.76s
[ 45/50] |     0.0618 |   0.0620 |   0.0193 |    26.78s
[ 46/50] |     0.0619 |   0.0626 |   0.0202 |    26.76s
[ 47/50] |     0.0618 |   0.0620 |   0.0194 |    26.77s
[ 48/50] |     0.0620 |   0.0622 |   0.0199 |    26.77s
[ 49/50] |     0.0624 |   0.0632 |   0.0222 |    26.76s
[ 50/50] |     0.0624 |   0.0623 |   0.0199 |    26.75s
